Price,close,high,low,open,volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-04-23,307.4305725097656,312.08024816477956,306.3666577627729,310.5237825210621,4306068
2010-04-26,309.3614807128906,311.68633149079875,307.43069485952714,309.7161271198076,2512548
2010-04-27,310.22833251953125,311.2528530808903,307.7655773965667,309.6963870331081,2621234
2010-04-28,303.5296630859375,308.90833032879453,301.4412513831559,307.35186415537464,2400382
2010-04-29,299.37249755859375,305.4801299536687,297.7372186197757,305.42101421357967,4622964
2010-04-30,301.5987854003906,304.514672382226,300.475754885822,301.441159487713,3690224
2010-05-03,302.15045166015625,303.9630535965715,297.1461291698956,299.96353023990366,2416560
2010-05-04,299.8648681640625,305.32232033640497,298.2098929909365,305.32232033640497,2896028
2010-05-05,301.7367248535156,302.6233166013712,291.6492905869394,295.5305826185265,4371230
2010-05-06,302.268798828125,303.76617365712065,299.1558897975854,302.60374806107427,2580872
2010-05-07,292.1419677734375,300.495616610915,289.6200960920872,298.28899692749656,4267152
2010-05-10,303.5099182128906,332.1763856585093,293.56038827472054,299.47100011917803,2327814
2010-05-11,298.0130920410156,306.9578242059962,297.06740842488836,305.3816607954391,1351288
2010-05-12,299.2542419433594,302.60358820135264,295.96398736559854,298.28883732951726,2740076
2010-05-13,301.6775817871094,304.67230584988164,300.042327141633,301.48056141654564,1321452
2010-05-14,300.9880676269531,306.1697139765518,297.50081602612175,301.8352650013368,2026996
2010-05-17,293.85601806640625,305.3620178178627,289.2654316973914,305.3620178178627,3722050
2010-05-18,289.659423828125,293.9544787816682,286.1918691029679,293.9544787816682,3199180
2010-05-19,284.3004150390625,288.8318838858389,282.25139822871296,287.64976157798424,3929266
2010-05-20,287.64971923828125,288.55600806417016,282.19226500711414,287.2556785269959,2398092
2010-05-21,283.1971130371094,286.0342114595814,270.016444152748,279.7689534453865,2675092
2010-05-24,282.76361083984375,287.6497253843148,280.83282574349363,285.67952178579213,2885428
2010-05-25,275.6512756347656,281.3451708063926,272.4989487909965,278.98092567356576,2297366
2010-05-26,290.8020935058594,293.48156598012713,277.4441015417549,278.98087019261305,3689464
2010-05-27,292.31915283203125,295.51089768733897,286.54646964152533,289.6199830185932,6883872
2010-05-28,295.8457946777344,296.90970952858146,289.8169759233864,295.4517539218902,2479374
2010-05-31,292.79193115234375,296.67324639571996,290.8020304693616,294.9394577321371,3327660
2010-06-01,291.2750549316406,296.2990766971304,289.5018707791148,292.7921028642174,3136912
2010-06-02,297.2052307128906,299.27394461576455,290.13219455871103,290.7232556738179,2769330
2010-06-03,301.6184997558594,303.01733962154776,293.5997559871664,299.47097283794056,1684434
2010-06-04,301.5791320800781,303.29322407792745,297.5796321857825,301.61855059229873,1368210
2010-06-07,296.8112487792969,298.60412970695916,290.01404460877865,295.4912216474784,1734922
2010-06-08,295.609375,300.25905103269577,294.3484397918947,297.10672503760185,2242222
